Date, Open, High, Low, Close
2/16/2021,1378.79,1424.66,1378.79,1421.23
2/12/2021,1363.9,1382.09,1350.71,1378.79
2/11/2021,1372.81,1378.98,1350.31,1363.9
2/10/2021,1366.86,1383.77,1356.53,1372.81
2/9/2021,1369.77,1370.43,1345.8,1366.86
2/8/2021,1336.06,1372.91,1336.06,1369.77
2/5/2021,1308.06,1339.59,1308.06,1336.06
2/4/2021,1300.95,1310.75,1296.87,1308.06
2/3/2021,1289.42,1308.39,1289.42,1300.95
2/2/2021,1294.81,1301.57,1283.65,1289.42
2/1/2021,1255.59,1295.47,1255.59,1294.81
1/29/2021,1302.84,1302.83,1251.41,1255.59
1/28/2021,1287.6,1307.71,1284.77,1302.83
1/27/2021,1322.56,1322.56,1264.18,1287.6
1/26/2021,1335.63,1355.96,1321.96,1322.55
1/25/2021,1350.38,1350.38,1319.44,1335.63
1/22/2021,1325.02,1352.41,1322.29,1350.38
1/21/2021,1390.05,1391.31,1359.54,1361.63
1/20/2021,1400.45,1402.34,1377.76,1385.57
1/19/2021,1395.32,1398.21,1376.48,1388.28
1/15/2021,1412.16,1412.16,1375.34,1383.71
1/14/2021,1444.56,1464.46,1441.55,1453.98
1/13/2021,1451.78,1451.78,1419.25,1424.06
1/12/2021,1440.6,1468.72,1435.19,1463.73
1/11/2021,1418.83,1455.48,1416.74,1444.94
1/8/2021,1460.85,1464.12,1439.18,1464.12
1/7/2021,1465.41,1473.92,1455.36,1467.35
1/6/2021,1397.28,1454.22,1395.47,1439.32
1/5/2021,1324.41,1375.38,1324.41,1369.83
1/4/2021,1343.28,1354,1312.82,1321.56
12/31/2020,1296.94,1298.87,1283.83,1292.26
12/30/2020,1282.37,1307.18,1282.37,1301.45
12/29/2020,1286.58,1295.17,1275.46,1282.15
12/28/2020,1299.3,1301.8,1276.5,1277.45
12/24/2020,1294.75,1295.16,1281.18,1288.21
12/23/2020,1284.33,1295.44,1283.97,1286.57
12/22/2020,1281.07,1281.92,1262.38,1270.7
12/21/2020,1251.26,1287.94,1251.24,1284.48
12/18/2020,1306.6,1306.6,1283.62,1287.11
12/17/2020,1306.2,1309.53,1298.5,1304
12/16/2020,1297.34,1301.2,1281.45,1295.64
12/15/2020,1282.78,1299.9,1267.79,1297.99
12/14/2020,1285.03,1286.82,1254.05,1257.21
12/11/2020,1280.85,1285.83,1261.35,1277.51
12/10/2020,1253.43,1297.39,1249.93,1296.22
12/9/2020,1277.47,1282.33,1240.4,1250.36
12/8/2020,1239.28,1263.96,1239.28,1263.38
12/7/2020,1246.18,1260.88,1241.6,1251.4
12/4/2020,1217.7,1248.54,1216.91,1246.86
12/3/2020,1198.62,1206.32,1183.82,1192.58
12/2/2020,1178.01,1195.35,1171.58,1191.54
12/1/2020,1162.67,1185.43,1162.2,1180.97
11/30/2020,1151.67,1152.67,1129.16,1130.25
11/27/2020,1153.4,1161.63,1148.25,1154.58
11/25/2020,1143.23,1151.66,1133.03,1148.25
11/24/2020,1114.57,1154.93,1113.23,1154.42
11/23/2020,1079.04,1095.15,1077.44,1093.67
11/20/2020,1060.64,1067.49,1055.16,1059.73
11/19/2020,1052.87,1063.17,1047.05,1059.27
11/18/2020,1075.2,1080.3,1053.67,1053.78
11/17/2020,1050.52,1074.89,1049.05,1069.37
11/16/2020,1043.47,1063.51,1042.43,1063.51
11/13/2020,1002.88,1024.04,1002.88,1022.39
11/12/2020,998.26,1010.09,986.92,993.02
11/11/2020,1012.41,1014.13,1002.94,1009.32
11/10/2020,1011.89,1020.71,1007.12,1009.45
11/9/2020,1017.75,1041.89,1003.94,1006.35
11/6/2020,970.73,979.93,966.63,970.1
11/5/2020,934.61,964.99,934.61,957.39
11/4/2020,934.1,934.1,913.49,914.89
11/3/2020,945.44,952.99,941.61,949.92
11/2/2020,925.81,928.92,917.32,928.82
10/30/2020,909.98,919.01,902.31,911.89
10/29/2020,891.37,921.46,886.36,917.67
10/28/2020,911.64,911.64,896.12,896.73
10/27/2020,938.73,941.76,931.99,934.75
10/26/2020,957.96,959.48,937.07,942.04
10/23/2020,962.23,973.06,959.5,967.94
10/22/2020,945.39,957.72,941.87,956.12
10/21/2020,941.16,957.04,940.75,943.4
10/20/2020,943.06,955.19,939.11,939.78
10/19/2020,944.91,960.3,934.79,935.56
10/16/2020,937.43,944.86,931.49,938.25
10/15/2020,914.12,937.92,912.13,936.8
10/14/2020,930.41,939,930.32,932.52
10/13/2020,921.85,931.1,916.87,927.1
10/12/2020,942.57,942.57,935.68,937.68
10/9/2020,961.06,962.51,933.73,941.99
10/8/2020,944.95,951.79,938.91,950.23
10/7/2020,926.68,943.13,926.68,939.86
10/6/2020,936.84,937.36,912.15,915.42
10/5/2020,911.3,932.05,911.3,930.5
10/2/2020,873.59,907.1,873.59,901.55
10/1/2020,886.12,894.37,881.87,889.55
9/30/2020,881.09,896.31,877.59,882.48
9/29/2020,890.11,893.89,876.06,877.04
9/28/2020,897.04,901.72,889.55,891.68
9/25/2020,858.9,876.58,856.97,874.56
9/24/2020,863.39,884.3,854.81,869.21
9/23/2020,877.17,890.03,865.95,866.23
9/22/2020,886.49,889.23,872.96,881.55
9/21/2020,911.76,932.81,873.59,884.03
9/18/2020,938.83,956.02,932.21,932.81
9/17/2020,910.19,942.37,907.04,939.45
9/16/2020,917.67,929.16,911.05,919.94
9/15/2020,913.47,921.46,907.73,916.48
9/14/2020,899.19,906.59,892.37,904.67
9/11/2020,883.65,900.64,883.65,890.82
9/10/2020,892.54,894.15,873.55,873.55
9/9/2020,888.95,893.77,884.12,888.63
9/8/2020,879.12,885.7,866.63,872.38
9/4/2020,899.36,904.12,880.51,899.31
9/3/2020,901.69,909.69,880.05,888.26
9/2/2020,905.77,908.22,894.42,907.26
9/1/2020,885.11,902.92,881.08,902.91
8/31/2020,895.52,896.58,880.94,881.22
8/28/2020,882.69,896.9,881.92,896.2
8/27/2020,884.34,885.68,867.49,875.69
8/26/2020,883.2,889.05,874.82,879.55
8/25/2020,885.46,887.27,870.81,883.45
8/24/2020,878.84,885.87,877.21,885.72
8/21/2020,876.7,878.6,864.34,868.51
8/20/2020,871.42,891.31,870.57,888.84
8/19/2020,899.39,905.58,888.32,889.02
8/18/2020,901.48,904.52,896.67,898.31
8/17/2020,895.38,901.78,887.26,890.96
8/14/2020,877.28,888.77,877.01,886.7
8/13/2020,884.31,889.91,879.11,882.47
8/12/2020,899.08,900.27,884.8,890.78
8/11/2020,900.13,903.04,885.14,887.26
8/10/2020,865.93,887.29,865.93,886.7
8/7/2020,848.88,856.63,843.1,856.57
8/6/2020,864.88,868.84,861.33,862.99
8/5/2020,866.03,879.36,865.88,870.02
8/4/2020,833.36,844.29,831.83,844.29
8/3/2020,831.35,840.6,827.16,837.48
7/31/2020,832.81,832.93,817.06,821.4
7/30/2020,837.7,840.68,824.76,838.06
7/29/2020,845.08,856.01,841.62,853.87
7/28/2020,843.22,845.81,833.05,833.73
7/27/2020,834.98,852.09,830.05,851.68
7/24/2020,826.03,832.78,821.05,830.81
7/23/2020,838.29,846.52,827.92,831.59
7/22/2020,831.54,839.42,829.42,838.65
7/21/2020,823.63,836.73,823.63,830.89
7/20/2020,817.88,823.8,816.93,819.58
7/17/2020,829.97,832.38,820.76,821.47
7/16/2020,827.75,834.25,822.77,825.6
7/15/2020,843.18,843.86,822.5,834.67
7/14/2020,795.62,828.08,794.18,828.04
7/13/2020,818.47,823.85,800.39,800.45
7/10/2020,777.98,803.54,777.59,803.53
7/9/2020,795.14,796.33,771.51,777.93
